network data,network parity,local data,local parity,throughput
1,1,1,1,3068.838282
1,1,1,2,1720.555516
1,1,1,3,1298.873436
1,1,1,4,1034.412852
1,2,1,1,2051.43079
1,2,1,2,1137.639001
1,2,1,3,859.70554
1,2,1,4,691.855885
1,3,1,1,1530.612846
1,3,1,2,840.728906
1,3,1,3,629.171644
1,3,1,4,510.970911
1,4,1,1,1207.523321
1,4,1,2,665.276407
1,4,1,3,496.314371
1,4,1,4,414.537936
1,1,2,1,4314.560864
1,1,2,2,2845.806435
1,1,2,3,2106.929045
1,1,2,4,1622.029501
1,2,2,1,2900.49221
1,2,2,2,1893.217612
1,2,2,3,1425.956245
1,2,2,4,1128.35311
2,1,1,1,4040.351295
2,1,1,2,2244.771951
2,1,1,3,1711.612424
2,1,1,4,1381.092279
2,2,1,1,3068.171169
2,2,1,2,1728.609075
2,2,1,3,1293.98055
2,2,1,4,1031.158756
2,3,1,1,2461.354041
2,3,1,2,1374.52364
2,3,1,3,1007.12098
2,3,1,4,821.416845
2,4,1,1,2040.379541
2,4,1,2,1138.002495
2,4,1,3,842.505366
2,4,1,4,690.561409
1,1,3,1,4871.360943
1,1,3,2,3163.675217
1,1,3,3,2332.76349
1,1,3,4,1783.751025
3,1,1,1,4584.882492
3,1,1,2,2539.569633
3,1,1,3,1944.815916
3,1,1,4,1551.019038
3,2,1,1,3684.986361
3,2,1,2,2065.077212
3,2,1,3,1511.598754
3,2,1,4,1243.993446
3,3,1,1,3094.999854
3,3,1,2,1672.13942
3,3,1,3,1263.486104
3,3,1,4,1033.665626
3,4,1,1,2641.212946
3,4,1,2,1475.248469
3,4,1,3,1107.722932
3,4,1,4,891.390286
1,1,4,1,5087.536583
1,1,4,2,3204.942433
1,1,4,3,2346.158658
1,1,4,4,1852.136213
2,1,2,1,5872.208357
2,1,2,2,3763.534115
2,1,2,3,2703.423397
2,1,2,4,2129.721722
2,2,2,1,4436.920443
2,2,2,2,2884.462119
2,2,2,3,2085.924956
2,2,2,4,1656.617858
4,1,1,1,5012.267976
4,1,1,2,2744.759743
4,1,1,3,2074.371289
4,1,1,4,1613.061098
4,2,1,1,4131.380654
4,2,1,2,2299.491808
4,2,1,3,1689.854187
4,2,1,4,1359.745819
4,3,1,1,3536.303776
4,3,1,2,1973.987972
4,3,1,3,1452.314064
4,3,1,4,1187.287866
4,4,1,1,3062.239641
4,4,1,2,1675.175763
4,4,1,3,1271.820173
4,4,1,4,1028.405269
5,1,1,1,5187.371595
5,1,1,2,2872.418141
5,1,1,3,2158.831119
5,1,1,4,1726.845099
5,2,1,1,4439.486437
5,2,1,2,2461.455342
5,2,1,3,1849.301604
5,2,1,4,1480.545516
5,3,1,1,3902.028047
5,3,1,2,2100.086207
5,3,1,3,1586.197938
5,3,1,4,1293.738942
5,4,1,1,3453.618398
5,4,1,2,1874.44946
5,4,1,3,1443.5258
5,4,1,4,1130.892533
2,1,3,1,6415.164109
2,1,3,2,4053.278318
2,1,3,3,2988.168344
2,1,3,4,2312.760857
3,1,2,1,6575.195407
3,1,2,2,4140.47796
3,1,2,3,2979.718187
3,1,2,4,2332.894957
3,2,2,1,5158.856507
3,2,2,2,3352.713508
3,2,2,3,2502.965152
3,2,2,4,1909.073781
2,1,4,1,6532.318735
2,1,4,2,4096.944087
2,1,4,3,3029.949122
2,1,4,4,2315.510792
4,1,2,1,6952.853284
4,1,2,2,4395.376908
4,1,2,3,3205.695841
4,1,2,4,2437.260573
4,2,2,1,5668.421037
4,2,2,2,3737.973155
4,2,2,3,2695.512049
4,2,2,4,2092.850196
3,1,3,1,7038.702326
3,1,3,2,4556.782324
3,1,3,3,3269.049274
3,1,3,4,2522.964643
5,1,2,1,7139.112635
5,1,2,2,4512.479349
5,1,2,3,3273.234138
5,1,2,4,2570.611009
5,2,2,1,6180.287651
5,2,2,2,3954.847872
5,2,2,3,2913.823501
5,2,2,4,2214.239677
8,1,8,1,6399.954044
8,1,8,2,5281.998519
8,1,8,3,3805.790467
8,1,8,4,3120.481996
8,1,8,5,2679.489406
8,1,8,6,2231.823183
8,1,8,7,1788.804064
8,1,8,8,1646.211898
