data,parity,throughput
1,1,5297.613289
1,2,5221.094794
1,3,5253.45199
1,4,5445.951082
1,5,5432.750739
1,6,5425.33613
1,7,5414.958359
1,8,5439.705261
1,9,6048.102812
1,10,5397.948326
2,1,7847.328197
2,2,7769.322119
2,3,7813.812395
2,4,7744.599661
2,5,7762.565766
2,6,7802.238251
2,7,7787.39967
2,8,7997.714128
2,9,7908.405208
2,10,7997.850205
3,1,9116.356483
3,2,9160.05087
3,3,9109.145121
3,4,9225.686333
3,5,9142.510458
3,6,9105.490603
3,7,9100.890508
3,8,9103.157071
3,9,9260.366272
3,10,9087.370221
4,1,10078.448994
4,2,9935.842757
4,3,9899.000419
4,4,9845.469102
4,5,9851.518951
4,6,9835.120488
4,7,9861.927929
4,8,10015.185576
4,9,9793.079364
4,10,9852.754021
5,1,10546.354058
5,2,10188.153103
5,3,10248.112587
5,4,10368.473518
5,5,10173.764575
5,6,10333.680256
5,7,10145.897638
5,8,10310.033855
5,9,10231.69639
5,10,10124.928863
6,1,10670.273184
6,2,10703.846725
6,3,10749.634523
6,4,10565.947969
6,5,10574.417831
6,6,10594.217609
6,7,10553.198982
6,8,10567.61563
6,9,10517.528943
6,10,10641.717118
7,1,10765.315064
7,2,10852.519637
7,3,10713.162437
7,4,10672.713693
7,5,10628.301166
7,6,10587.237379
7,7,10676.702197
7,8,10592.951221
7,9,10560.346812
7,10,10584.218195
8,1,10817.919562
8,2,10560.465143
8,3,10622.65612
8,4,10542.633591
8,5,10627.226136
8,6,10494.885497
8,7,10484.554877
8,8,10466.109942
8,9,10492.166579
8,10,10392.335131
9,1,10683.836651
9,2,10391.595112
9,3,10424.403921
9,4,10316.024771
9,5,10360.283054
9,6,10353.675632
9,7,10488.269455
9,8,10323.038775
9,9,10305.515847
9,10,10267.185963
10,1,10373.824801
10,2,10251.021915
10,3,10228.580161
10,4,10208.897773
10,5,10251.587536
10,6,10157.551131
10,7,10123.685437
10,8,10379.723284
10,9,10152.435632
10,10,10340.205462
11,1,10063.552052
11,2,10149.8233
11,3,10093.175894
11,4,9963.434427
11,5,10066.081982
11,6,10137.39313
11,7,10060.707793
11,8,9982.723475
11,9,10031.595176
11,10,9957.160651
12,1,9843.834758
12,2,10009.17546
12,3,9975.10744
12,4,9853.646191
12,5,9774.076908
12,6,10006.08001
12,7,9839.434033
12,8,9883.670808
12,9,9821.474455
12,10,9764.239941
13,1,9881.705875
13,2,10109.694576
13,3,10031.450346
13,4,9923.404163
13,5,9919.408866
13,6,9873.256788
13,7,9850.48299
13,8,10028.405108
13,9,9844.896977
13,10,9831.602485
14,1,9579.590212
14,2,9835.019831
14,3,9558.476602
14,4,9532.630434
14,5,9656.296748
14,6,9544.02391
14,7,9677.964909
14,8,9600.522689
14,9,9574.640337
14,10,9576.403465
15,1,9375.081269
15,2,9225.936116
15,3,9261.40591
15,4,9218.485132
15,5,9332.650969
15,6,9245.256106
15,7,9110.19137
15,8,9551.630919
15,9,9302.096796
15,10,9489.129196
16,1,9006.106788
16,2,9126.704733
16,3,8943.664886
16,4,8927.958
16,5,8897.289516
16,6,9002.797199
16,7,8898.472123
16,8,9004.530358
16,9,8911.56136
16,10,9170.833923
17,1,8849.065935
17,2,8875.442371
17,3,8766.528036
