network_data,network_parity,local_data,local_parity,throughput
17,3,1,1,3029.387747
17,3,1,2,2190.346534
17,3,2,1,3585.929241
17,3,2,2,3051.956299
17,3,3,1,3845.263454
17,3,3,2,3325.886094
17,3,4,1,4000.761514
17,3,4,2,3610.216345
17,3,5,1,4029.183667
17,3,5,2,3773.024911
17,3,1,3,1766.337619
17,3,1,4,1568.622965
17,3,1,5,1385.507539
17,3,1,6,1208.870625
17,3,1,7,1063.173052
17,3,1,8,959.793334
17,3,1,9,764.779605
17,3,1,10,771.175228
17,3,2,3,2560.354849
17,3,2,4,2330.792422
17,3,2,5,2111.562528
17,3,2,6,1874.810101
17,3,2,7,1614.248481
17,3,2,8,1565.325489
17,3,2,9,1392.924587
17,3,2,10,1359.393292
17,3,3,3,3071.015253
17,3,3,4,2852.647297
17,3,3,5,2620.009656
17,3,3,6,2340.608827
17,3,3,7,1985.248907
17,3,3,8,1844.424527
17,3,3,9,1827.156318
17,3,3,10,1688.021664
17,3,4,3,3244.478696
17,3,4,4,3177.891774
17,3,4,5,2809.106173
17,3,4,6,2529.086792
17,3,4,7,2199.408285
17,3,4,8,1931.490526
17,3,4,9,1921.957285
17,3,4,10,1754.581727
17,3,5,3,3318.710194
17,3,5,4,3194.551567
17,3,5,5,2867.693188
17,3,5,6,2536.424419
17,3,5,7,2080.152964
17,3,5,8,2142.966826
17,3,5,9,1952.003512
17,3,5,10,1871.794732
17,3,6,1,4125.350002
17,3,6,2,3857.308647
17,3,6,3,3546.725951
17,3,6,4,3157.166481
17,3,6,5,2835.946591
17,3,6,6,2447.861309
17,3,6,7,2078.881564
17,3,6,8,1920.890704
17,3,6,9,1961.717905
17,3,6,10,1763.34117
17,3,7,1,4017.15009
17,3,7,2,3847.780373
17,3,7,3,3474.08397
17,3,7,4,3085.459212
17,3,7,5,2783.931199
17,3,7,6,2556.768798
17,3,7,7,2133.702529
17,3,7,8,2012.553655
17,3,7,9,1915.429892
17,3,7,10,1669.142382
17,3,8,1,3848.865615
17,3,8,2,3725.591099
17,3,8,3,3332.381149
17,3,8,4,2975.560828
17,3,8,5,2840.476524
17,3,8,6,2697.762066
17,3,8,7,2120.874781
17,3,8,8,1938.268648
17,3,8,9,1976.385772
17,3,8,10,1832.981782
17,3,9,1,4040.202693
17,3,9,2,3741.51876
17,3,9,3,3371.733502
17,3,9,4,3118.250448
17,3,9,5,3034.548516
17,3,9,6,2855.568272
17,3,9,7,2137.110923
17,3,9,8,1987.730133
17,3,9,9,1980.286807
17,3,9,10,1904.235685
17,3,10,1,3833.726289
17,3,10,2,3708.333455
