network_data,network_parity,local_data,local_parity,throughput
10,2,1,1,3175.451
10,2,1,2,2325.456634
10,2,1,3,1877.881035
10,2,1,4,1610.592139
10,2,1,5,1391.096175
10,2,1,6,1245.523591
10,2,1,7,1069.411471
10,2,1,8,965.571855
10,2,1,9,854.846269
10,2,1,10,788.721028
10,2,2,1,3830.787921
10,2,2,2,3227.226127
10,2,2,3,2738.43812
10,2,2,4,2437.026909
10,2,2,5,2201.281774
10,2,2,6,1974.738164
10,2,2,7,1707.262839
10,2,2,8,1590.622007
10,2,2,9,1479.899138
10,2,2,10,1348.179658
10,2,3,1,4088.538839
10,2,3,2,3645.252661
10,2,3,3,3252.510963
10,2,3,4,2932.280446
10,2,3,5,2694.707961
10,2,3,6,2445.573087
10,2,3,7,2089.535641
10,2,3,8,1963.623736
10,2,3,9,1833.071752
10,2,3,10,1692.107716
10,2,4,1,4306.614358
10,2,4,2,3857.877034
10,2,4,3,3551.32842
10,2,4,4,3277.510267
10,2,4,5,2993.501335
10,2,4,6,2668.329566
10,2,4,7,2257.955601
10,2,4,8,2136.038679
10,2,4,9,1959.651852
10,2,4,10,1850.753027
10,2,5,1,4353.006659
10,2,5,2,4027.913284
10,2,5,3,3708.659089
10,2,5,4,3407.550549
10,2,5,5,3092.27437
10,2,5,6,2789.472526
10,2,5,7,2291.186004
10,2,5,8,2195.101605
10,2,5,9,1996.683707
10,2,5,10,1932.175502
10,2,6,1,4491.088681
10,2,6,2,4134.726804
10,2,6,3,3790.960229
10,2,6,4,3463.827937
10,2,6,5,3138.02684
10,2,6,6,2809.436079
10,2,6,7,2265.335435
10,2,6,8,2209.80491
10,2,6,9,2030.254103
10,2,6,10,1928.625542
10,2,7,1,4428.24378
10,2,7,2,4146.64368
10,2,7,3,3794.729007
10,2,7,4,3425.848089
10,2,7,5,3110.624522
10,2,7,6,2827.82814
10,2,7,7,2340.451851
10,2,7,8,2236.622169
10,2,7,9,1983.687153
10,2,7,10,1936.891411
10,2,8,1,4476.508433
10,2,8,2,4136.265546
10,2,8,3,3760.970105
10,2,8,4,3420.390586
10,2,8,5,3154.554709
10,2,8,6,2934.093998
10,2,8,7,2277.975959
10,2,8,8,2196.63556
10,2,8,9,1993.878843
10,2,8,10,1925.118529
10,2,9,1,4416.856292
10,2,9,2,4071.598365
10,2,9,3,3729.865287
10,2,9,4,3429.86898
10,2,9,5,3199.092164
10,2,9,6,2977.348416
10,2,9,7,2280.715521
10,2,9,8,2210.523424
10,2,9,9,2102.176083
10,2,9,10,1940.318665
10,2,10,1,4439.745309
10,2,10,2,4112.25582
10,2,10,3,3800.145798
10,2,10,4,3526.775201
10,2,10,5,3277.151761
10,2,10,6,2978.57032
10,2,10,7,2298.585712
10,2,10,8,2284.02649
10,2,10,9,2085.048929
10,2,10,10,2050.623178
10,2,11,1,4480.31381
10,2,11,2,4110.056839
10,2,11,3,3799.1847
10,2,11,4,3554.611579
10,2,11,5,3253.667366
10,2,11,6,2952.728502
10,2,11,7,2302.917568
10,2,11,8,2224.804484
10,2,11,9,2089.239445
10,2,11,10,1990.49732
10,2,12,1,4388.22452
10,2,12,2,4107.526397
10,2,12,3,3794.368813
10,2,12,4,3541.543462
10,2,12,5,3247.558469
10,2,12,6,2945.553743
10,2,12,7,2310.815637
10,2,12,8,2206.104616
10,2,12,9,2020.389937
10,2,12,10,2010.289762
10,2,13,1,4330.590932
10,2,13,2,4044.051592
10,2,13,3,3785.08841
10,2,13,4,3495.774996
10,2,13,5,3181.21002
10,2,13,6,2850.812711
10,2,13,7,2244.527533
10,2,13,8,2212.638685
10,2,13,9,2028.432874
10,2,13,10,1960.077919
10,2,14,1,4404.296767
10,2,14,2,4101.350108
10,2,14,3,3692.161339
10,2,14,4,3445.385885
10,2,14,5,3176.56022
10,2,14,6,2875.475161
10,2,14,7,2198.847134
10,2,14,8,2161.647209
10,2,14,9,2049.390052
10,2,14,10,1946.271322
10,2,15,1,4458.770692
10,2,15,2,4085.652885
10,2,15,3,3731.52058
10,2,15,4,3409.982991
10,2,15,5,3171.12978
10,2,15,6,2884.989936
10,2,15,7,2260.164691
10,2,15,8,2118.906496
10,2,15,9,1956.402471
10,2,15,10,1891.899728
10,2,16,1,4367.507353
10,2,16,2,4011.915888
10,2,16,3,3646.337065
10,2,16,4,3383.4764
10,2,16,5,3106.570617
10,2,16,6,2837.041003
10,2,16,7,2210.514205
10,2,16,8,2103.809857
10,2,16,9,1907.396796
10,2,16,10,1894.463157
10,2,17,1,4361.205114
10,2,17,2,3970.200723
10,2,17,3,3686.289913
10,2,17,4,3369.741177
10,2,17,5,3065.945878
10,2,17,6,2815.760544
10,2,17,7,2117.75686
10,2,17,8,2017.571903
10,2,17,9,1866.77355
10,2,17,10,1858.973745
10,2,18,1,4375.250347
10,2,18,2,3993.481561
10,2,18,3,3663.817819
10,2,18,4,3378.196258
10,2,18,5,3119.598261
10,2,18,6,2802.134936
10,2,18,7,2176.195403
10,2,18,8,2024.815724
10,2,18,9,1953.425133
10,2,18,10,1823.712279
10,2,19,1,4211.696239
10,2,19,2,3944.012836
10,2,19,3,3599.771393
10,2,19,4,3319.787509
10,2,19,5,3074.565339
10,2,19,6,2783.2291
10,2,19,7,2119.033814
10,2,19,8,2028.038562
10,2,19,9,1866.350296
10,2,19,10,1787.509634
10,2,20,1,4294.867369
10,2,20,2,4036.218412
10,2,20,3,3686.583333
10,2,20,4,3404.952716
10,2,20,5,3133.453894
10,2,20,6,2826.52108
10,2,20,7,2197.30194
10,2,20,8,2109.38114
10,2,20,9,2003.862794
10,2,20,10,1855.209886
10,2,21,1,4262.701312
10,2,21,2,3880.515458
10,2,21,3,3644.955449
10,2,21,4,3283.658774
10,2,21,5,3035.626184
10,2,21,6,2762.248921
10,2,21,7,2146.152265
10,2,21,8,2134.550428
10,2,21,9,1856.028174
10,2,21,10,1798.440736
10,2,22,1,4197.672629
10,2,22,2,3886.331949
10,2,22,3,3626.231646
10,2,22,4,3347.944425
10,2,22,5,3095.833977
10,2,22,6,2761.619216
10,2,22,7,2082.182598
10,2,22,8,2027.734235
10,2,22,9,1860.51185
10,2,22,10,1801.429292
10,2,23,1,4238.830076
10,2,23,2,3955.019717
10,2,23,3,3669.879511
10,2,23,4,3374.359182
10,2,23,5,3105.243126
10,2,23,6,2815.56702
10,2,23,7,2153.219178
10,2,23,8,2095.489556
10,2,23,9,1876.779888
10,2,23,10,1839.777101
10,2,24,1,4174.679126
10,2,24,2,3909.278082
10,2,24,3,3608.042089
10,2,24,4,3288.923523
10,2,24,5,3054.382028
10,2,24,6,2759.256712
10,2,24,7,2031.344038
10,2,24,8,1983.277975
10,2,24,9,1821.076663
10,2,24,10,1807.579323
10,2,25,1,4371.99833
10,2,25,2,4007.443161
10,2,25,3,3694.793443
10,2,25,4,3368.916993
10,2,25,5,3057.358108
10,2,25,6,2702.529118
10,2,25,7,2125.708059
10,2,25,8,2006.424543
10,2,25,9,1844.490007
10,2,25,10,1796.547459
10,2,26,1,4298.366689
10,2,26,2,3968.372712
10,2,26,3,3591.635293
10,2,26,4,3259.273466
10,2,26,5,2962.785443
10,2,26,6,2633.746487
10,2,26,7,2022.144637
10,2,26,8,1994.975798
10,2,26,9,1905.759542
10,2,26,10,1751.801471
10,2,27,1,4195.653576
10,2,27,2,3891.821614
10,2,27,3,3507.448827
10,2,27,4,3191.96769
10,2,27,5,2904.474934
10,2,27,6,2247.490745
10,2,27,7,1799.89869
10,2,27,8,1743.943932
10,2,27,9,1571.4904
10,2,27,10,1545.013994
10,2,28,1,4268.83637
10,2,28,2,3886.554161
10,2,28,3,3455.979475
10,2,28,4,3169.920744
10,2,28,5,2470.424995
10,2,28,6,1288.997746
10,2,28,7,1632.751981
10,2,28,8,1505.4155
10,2,28,9,1393.787425
10,2,28,10,1302.911458
10,2,29,1,4232.730454
10,2,29,2,3785.466449
10,2,29,3,3412.888823
10,2,29,4,2726.288244
10,2,29,5,1366.701062
10,2,29,6,1281.927071
10,2,29,7,1478.623271
10,2,29,8,1351.130391
10,2,29,9,1217.498991
10,2,29,10,1105.827133
10,2,30,1,4126.482195
10,2,30,2,3730.842473
10,2,30,3,2986.827039
10,2,30,4,1568.499864
10,2,30,5,1361.503688
10,2,30,6,1269.644431
10,2,30,7,1305.231254
10,2,30,8,1233.057235
10,2,30,9,1063.520723
10,2,30,10,788.873276
10,2,31,1,4093.003838
10,2,31,2,3422.668996
10,2,31,3,1765.15582
10,2,31,4,1495.123856
10,2,31,5,1380.705581
10,2,31,6,1273.217643
10,2,31,7,1219.450772
10,2,31,8,1117.358526
10,2,31,9,898.007981
10,2,31,10,798.765271
10,2,32,1,3999.07445
10,2,32,2,2702.645395
10,2,32,3,1679.009161
10,2,32,4,1506.901216
10,2,32,5,1360.691773
10,2,32,6,1270.814391
10,2,32,7,1148.468086
10,2,32,8,1012.728023
10,2,32,9,801.513267
10,2,32,10,778.621488
10,2,33,1,3872.992597
10,2,33,2,2061.199473
10,2,33,3,1685.655333
10,2,33,4,1533.541111
10,2,33,5,1375.868057
10,2,33,6,1282.459799
10,2,33,7,1118.720673
10,2,33,8,911.693971
10,2,33,9,810.350104
10,2,33,10,790.203669
10,2,34,1,3205.027623
10,2,34,2,1967.911131
10,2,34,3,1612.438821
10,2,34,4,1506.696621
10,2,34,5,1320.74972
10,2,34,6,1225.174465
10,2,34,7,1001.949277
10,2,34,8,883.505705
10,2,34,9,821.726948
10,2,34,10,792.289418
10,2,35,1,2570.822327
10,2,35,2,2004.228494
10,2,35,3,1630.1177
10,2,35,4,1552.284716
10,2,35,5,1341.083728
10,2,35,6,1252.842619
10,2,35,7,984.572681
10,2,35,8,910.98029
10,2,35,9,841.580449
10,2,35,10,807.672438
10,2,36,1,2656.731834
10,2,36,2,2022.463513
10,2,36,3,1657.531683
10,2,36,4,1617.649108
10,2,36,5,1356.585829
10,2,36,6,1264.570575
10,2,36,7,964.161443
10,2,36,8,909.099873
10,2,36,9,820.014571
10,2,36,10,800.428947
10,2,37,1,2537.928453
10,2,37,2,1978.61132
10,2,37,3,1635.159276
10,2,37,4,1592.609364
10,2,37,5,1320.159931
10,2,37,6,1241.835721
10,2,37,7,957.621317
10,2,37,8,901.517241
10,2,37,9,833.122255
10,2,37,10,809.481327
10,2,38,1,2634.051662
10,2,38,2,1995.856996
10,2,38,3,1696.793255
10,2,38,4,1632.025534
10,2,38,5,1344.343175
10,2,38,6,1259.829046
10,2,38,7,998.019708
10,2,38,8,909.437137
10,2,38,9,849.475567
10,2,38,10,835.484659
10,2,39,1,2535.232373
10,2,39,2,1958.904808
10,2,39,3,1687.855656
10,2,39,4,1590.236904
10,2,39,5,1322.315276
10,2,39,6,1229.08119
10,2,39,7,940.850893
10,2,39,8,886.98085
10,2,39,9,816.844389
10,2,39,10,809.899922
10,2,40,1,2624.328888
10,2,40,2,1984.604862
10,2,40,3,1748.495667
10,2,40,4,1553.100969
10,2,40,5,1348.203287
10,2,40,6,1249.278523
10,2,40,7,957.961301
10,2,40,8,904.369359
10,2,40,9,833.649469
10,2,40,10,815.931053
10,2,41,1,2694.866413
10,2,41,2,2039.275564
10,2,41,3,1816.900668
10,2,41,4,1651.225284
10,2,41,5,1382.90193
10,2,41,6,1286.331093
10,2,41,7,986.369169
10,2,41,8,927.121688
10,2,41,9,855.278926
10,2,41,10,819.825429
10,2,42,1,2592.273087
10,2,42,2,1981.072866
10,2,42,3,1772.978012
10,2,42,4,1560.920464
10,2,42,5,1350.322942
10,2,42,6,1261.111134
10,2,42,7,964.078678
10,2,42,8,907.967637
10,2,42,9,838.514268
10,2,42,10,782.401018
10,2,43,1,2533.696542
10,2,43,2,1935.077907
10,2,43,3,1735.362216
10,2,43,4,1565.721677
10,2,43,5,1316.60562
10,2,43,6,1229.280234
10,2,43,7,978.010152
10,2,43,8,899.68552
10,2,43,9,858.933982
10,2,43,10,812.400898
10,2,44,1,2656.751485
10,2,44,2,2006.210871
10,2,44,3,1780.775999
10,2,44,4,1559.478098
10,2,44,5,1360.652175
10,2,44,6,1269.352802
10,2,44,7,999.180644
10,2,44,8,920.553675
10,2,44,9,883.403686
10,2,44,10,835.009707
10,2,45,1,2589.115324
10,2,45,2,1991.897102
10,2,45,3,1734.315313
10,2,45,4,1583.185485
10,2,45,5,1336.450108
10,2,45,6,1244.56447
10,2,45,7,982.453163
10,2,45,8,916.444531
10,2,45,9,828.266421
10,2,45,10,795.116612
10,2,46,1,2644.007596
10,2,46,2,2071.272604
10,2,46,3,1780.22583
10,2,46,4,1635.043446
10,2,46,5,1384.879231
10,2,46,6,1289.36261
10,2,46,7,1022.720467
10,2,46,8,936.326167
10,2,46,9,854.725898
10,2,46,10,850.119616
10,2,47,1,2637.136117
10,2,47,2,2051.2359
10,2,47,3,1731.31663
10,2,47,4,1598.222216
10,2,47,5,1353.02881
10,2,47,6,1260.910087
10,2,47,7,966.132485
10,2,47,8,916.209203
10,2,47,9,838.630639
10,2,47,10,834.130012
10,2,48,1,2590.534589
10,2,48,2,2026.183415
10,2,48,3,1704.362583
10,2,48,4,1561.963681
10,2,48,5,1317.803303
